model_name,features,accuracy,precision,recall,f1_score,loss,inference_time,timestamp,hyperparameters,preprocess_method,dir_name
Adam_GELU_standard,"['GELU', 'Adam']",0.5538,0.555981865733783,0.5538,0.5513721857900769,1.2387881210993048,0.13984203338623047,2025-04-12 19:34:58,"{'preprocess': 'standard', 'compare_models': False, 'gelu': True, 'adam': True, 'no_batch_norm': True, 'hidden_sizes': [256, 128], 'epochs': 100, 'batch_size': 128, 'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0001, 'dropout': 0.5, 'early_stopping_patience': 10, 'log_dir': 'logs/study_20250412/ablation', 'model_name': None, 'features': ['GELU', 'Adam'], 'preprocess_method': 'standard', 'use_bn': False}",standard,ablation
BatchNorm_GELU_standard,"['GELU', 'BatchNorm']",0.2022,0.25344975447078816,0.2022,0.1683003480457742,2.1639908154323493,0.14488911628723145,2025-04-12 19:35:44,"{'preprocess': 'standard', 'compare_models': False, 'gelu': True, 'adam': False, 'no_batch_norm': False, 'hidden_sizes': [256, 128], 'epochs': 100, 'batch_size': 128, 'lr': 0.01, 'momentum': 0.9, 'weight_decay': 0.0001, 'dropout': 0.5, 'early_stopping_patience': 10, 'log_dir': 'logs/study_20250412/ablation', 'model_name': None, 'features': ['GELU', 'BatchNorm'], 'preprocess_method': 'standard', 'use_bn': True}",standard,ablation
Adam_BatchNorm_GELU_standard,"['GELU', 'Adam', 'BatchNorm']",0.167,0.18599892673294943,0.167,0.14792123436529356,2.2320147201449587,0.15244507789611816,2025-04-12 19:20:34,"{'preprocess': 'standard', 'compare_models': False, 'gelu': True, 'adam': True, 'no_batch_norm': False, 'hidden_sizes': [256, 128], 'epochs': 50, 'batch_size': 128, 'lr': 0.0005, 'momentum': 0.9, 'weight_decay': 0.0001, 'dropout': 0.5, 'early_stopping_patience': 10, 'log_dir': 'logs/study_20250412/hyperparams', 'model_name': None, 'features': ['GELU', 'Adam', 'BatchNorm'], 'preprocess_method': 'standard', 'use_bn': True}",standard,20250412_002
Adam_BatchNorm_GELU_standard,"['GELU', 'Adam', 'BatchNorm']",0.1593,0.19188701590553314,0.1593,0.1305528157604452,2.2344669403837534,0.1413578987121582,2025-04-12 19:20:04,"{'preprocess': 'standard', 'compare_models': False, 'gelu': True, 'adam': True, 'no_batch_norm': False, 'hidden_sizes': [256, 128], 'epochs': 50, 'batch_size': 128, 'lr': 0.0001, 'momentum': 0.9, 'weight_decay': 0.0001, 'dropout': 0.5, 'early_stopping_patience': 10, 'log_dir': 'logs/study_20250412/hyperparams', 'model_name': None, 'features': ['GELU', 'Adam', 'BatchNorm'], 'preprocess_method': 'standard', 'use_bn': True}",standard,20250412_001
Adam_BatchNorm_GELU_standard,"['GELU', 'Adam', 'BatchNorm']",0.15,0.1725612043469269,0.15,0.12627259956269382,2.2673526934047583,0.19679903984069824,2025-04-12 19:41:14,"{'preprocess': 'standard', 'compare_models': False, 'gelu': True, 'adam': True, 'no_batch_norm': False, 'hidden_sizes': [256, 128, 64], 'epochs': 100, 'batch_size': 128, 'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0001, 'dropout': 0.5, 'early_stopping_patience': 10, 'log_dir': 'logs/study_20250412/ablation', 'model_name': None, 'features': ['GELU', 'Adam', 'BatchNorm'], 'preprocess_method': 'standard', 'use_bn': True}",standard,ablation
Adam_BatchNorm_GELU_standard,"['GELU', 'Adam', 'BatchNorm']",0.1446,0.16379840700924497,0.1446,0.09593537343773204,2.279556096521982,0.17136025428771973,2025-04-12 19:29:00,"{'preprocess': 'standard', 'compare_models': False, 'gelu': True, 'adam': True, 'no_batch_norm': False, 'hidden_sizes': [256, 128, 64], 'epochs': 50, 'batch_size': 128, 'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0001, 'dropout': 0.5, 'early_stopping_patience': 10, 'log_dir': 'logs/study_20250412/hyperparams', 'model_name': None, 'features': ['GELU', 'Adam', 'BatchNorm'], 'preprocess_method': 'standard', 'use_bn': True}",standard,20250412_018
Adam_BatchNorm_GELU_standard,"['GELU', 'Adam', 'BatchNorm']",0.1429,0.14227433020630875,0.1429,0.1321081105357589,2.243023283341922,0.14595794677734375,2025-04-12 19:23:53,"{'preprocess': 'standard', 'compare_models': False, 'gelu': True, 'adam': True, 'no_batch_norm': False, 'hidden_sizes': [256, 128], 'epochs': 50, 'batch_size': 128, 'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0001, 'dropout': 0.5, 'early_stopping_patience': 10, 'log_dir': 'logs/study_20250412/hyperparams', 'model_name': None, 'features': ['GELU', 'Adam', 'BatchNorm'], 'preprocess_method': 'standard', 'use_bn': True}",standard,20250412_008
Adam_BatchNorm_GELU_standard,"['GELU', 'Adam', 'BatchNorm']",0.1411,0.14150855075547364,0.1411,0.13324684142900886,2.2661439868939204,0.1505732536315918,2025-04-12 19:24:56,"{'preprocess': 'standard', 'compare_models': False, 'gelu': True, 'adam': True, 'no_batch_norm': False, 'hidden_sizes': [256, 128], 'epochs': 50, 'batch_size': 128, 'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0, 'dropout': 0.5, 'early_stopping_patience': 10, 'log_dir': 'logs/study_20250412/hyperparams', 'model_name': None, 'features': ['GELU', 'Adam', 'BatchNorm'], 'preprocess_method': 'standard', 'use_bn': True}",standard,20250412_010
Adam_BatchNorm_GELU_standard,"['GELU', 'Adam', 'BatchNorm']",0.1393,0.1319685111699202,0.1393,0.1220728380916531,2.263683033218275,0.1527857780456543,2025-04-12 19:24:22,"{'preprocess': 'standard', 'compare_models': False, 'gelu': True, 'adam': True, 'no_batch_norm': False, 'hidden_sizes': [256, 128], 'epochs': 50, 'batch_size': 256, 'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0001, 'dropout': 0.5, 'early_stopping_patience': 10, 'log_dir': 'logs/study_20250412/hyperparams', 'model_name': None, 'features': ['GELU', 'Adam', 'BatchNorm'], 'preprocess_method': 'standard', 'use_bn': True}",standard,20250412_009
Adam_BatchNorm_GELU_standard,"['GELU', 'Adam', 'BatchNorm']",0.1393,0.14994988449170346,0.1393,0.13283720737985813,2.2498927278794794,0.1486508846282959,2025-04-12 19:23:22,"{'preprocess': 'standard', 'compare_models': False, 'gelu': True, 'adam': True, 'no_batch_norm': False, 'hidden_sizes': [256, 128], 'epochs': 50, 'batch_size': 64, 'lr': 0.001, 'momentum': 0.9, 'weight_decay': 0.0001, 'dropout': 0.5, 'early_stopping_patience': 10, 'log_dir': 'logs/study_20250412/hyperparams', 'model_name': None, 'features': ['GELU', 'Adam', 'BatchNorm'], 'preprocess_method': 'standard', 'use_bn': True}",standard,20250412_007
